rank	byte_length	string_table_offset	file_offset	string_json
3168	19	2982	6142806	"_FT_Outline_Reverse"
3169	19	3402	6143226	"_FT_Set_Log_Handler"
3170	19	3528	6143352	"_FT_Set_Pixel_Sizes"
3171	19	3644	6143468	"_FT_Sfnt_Table_Info"
3172	19	3672	6143496	"_FT_Stream_OpenGzip"
3173	19	3747	6143571	"_FT_Trace_Set_Level"
3174	19	3807	6143631	"_FT_Vector_Polarize"
3175	19	3900	6143724	"_HelpAnchorErrorKey"
3176	19	13978	6153802	"_UnderlyingErrorKey"
3177	19	134995	6274819	"_af_shaper_get_elem"
3178	19	136328	6276152	"_ft_hash_num_insert"
3179	19	136348	6276172	"_ft_hash_num_lookup"
3180	19	136404	6276228	"_ft_hash_str_insert"
3181	19	136424	6276248	"_ft_hash_str_lookup"
3182	19	136588	6276412	"_ft_standard_raster"
3183	19	136735	6276559	"_pfr_cmap_class_rec"
3184	19	136874	6276698	"_psaux_module_class"
3185	19	137135	6276959	"_t1_expert_encoding"
3186	19	137177	6277001	"_t1cid_driver_class"
3187	19	137215	6277039	"_tt_cmap0_class_rec"
3188	19	137319	6277143	"_tt_cmap2_class_rec"
3189	19	137339	6277163	"_tt_cmap4_class_rec"
3190	19	137359	6277183	"_tt_cmap6_class_rec"
3191	19	137379	6277203	"_tt_cmap8_class_rec"
3192	19	137470	6277294	"_u_UCharsToChars_61"
3193	19	137525	6277349	"_u_charDirection_61"
3194	19	137577	6277401	"_u_charsToUChars_61"
3195	19	137627	6277451	"_u_enumCharTypes_61"
3196	19	137751	6277575	"_u_isIDIgnorable_61"
3197	19	137840	6277664	"_u_isJavaIDStart_61"
3198	19	137899	6277723	"_u_isUAlphabetic_61"
3199	19	137919	6277743	"_u_isUWhiteSpace_61"
3200	19	138906	6278730	"_ubidi_countRuns_61"
3201	19	139051	6278875	"_ubidi_getLength_61"
3202	19	139092	6278916	"_ubidi_getLevels_61"
3203	19	139465	6279289	"_ubidi_invertMap_61"
3204	19	139485	6279309	"_ubidi_isInverse_61"
3205	19	139536	6279360	"_ubidi_openSized_61"
3206	19	139980	6279804	"_udata_readInt16_61"
3207	19	140000	6279824	"_udata_readInt32_61"
3208	19	140575	6280399	"_ustr_hashCharsN_61"
3209	19	140973	6280797	"_utrie2_isFrozen_61"
3210	19	141102	6280926	"_CACurrentMediaTime"
3211	19	141285	6281109	"_CFArrayAppendValue"
3212	19	141406	6281230	"_CFDictionaryCreate"
3213	19	141447	6281271	"_CFRunLoopAddSource"
3214	19	141543	6281367	"_CFRunLoopRunInMode"
3215	19	141925	6281749	"_CGContextDrawImage"
3216	19	142560	6282384	"_CGRectContainsRect"
3217	19	143063	6282887	"_CTLineGetGlyphRuns"
3218	19	143101	6282925	"_CTRunGetGlyphCount"
3219	19	144054	6283878	"_NSCocoaErrorDomain"
3220	19	144219	6284043	"_NSFilePathErrorKey"
3221	19	144292	6284116	"_NSGenericException"
3222	19	144901	6284725	"_NSPOSIXErrorDomain"
3223	19	147131	6286955	"_OBJC_CLASS_$_NSSet"
3224	19	147197	6287021	"_OBJC_CLASS_$_NSURL"
3225	19	149464	6289288	"_UIFontWeightMedium"
3226	19	149838	6289662	"__DefaultRuneLocale"
3227	19	158764	6298588	"__ZNSt8bad_castC1Ev"
3228	19	158784	6298608	"__ZNSt8bad_castD1Ev"
3229	19	160299	6300123	"___cxa_pure_virtual"
3230	19	162198	6302022	"_objc_msgSendSuper2"
3231	19	162609	6302433	"_pthread_getname_np"
3232	19	162650	6302474	"_pthread_key_create"
3233	19	162670	6302494	"_pthread_key_delete"
3234	19	162704	6302528	"_pthread_setname_np"
3235	19	162919	6302743	"_sqlite3_bind_int64"
3236	19	163098	6302922	"_sqlite3_column_int"
3237	19	163344	6303168	"_sqlite3_prepare_v2"
3238	18	1066	6140890	"_FT_Bitmap_Convert"
3239	18	1551	6141375	"_FT_Get_Char_Index"
3240	18	1727	6141551	"_FT_Get_First_Char"
3241	18	1766	6141590	"_FT_Get_Glyph_Name"
3242	18	1905	6141729	"_FT_Get_Name_Index"
3243	18	2081	6141905	"_FT_Get_Sfnt_Table"
3244	18	2963	6142787	"_FT_Outline_Render"
3245	18	3067	6142891	"_FT_Palette_Select"
3246	18	3153	6142977	"_FT_Reference_Face"
3247	18	3259	6143083	"_FT_Select_Charmap"
3248	18	3328	6143152	"_FT_Set_Debug_Hook"
3249	18	3692	6143516	"_FT_Stream_OpenLZW"
3250	18	125487	6265311	"__ZN3mlt5LayerD1Ev"
3251	18	125506	6265330	"__ZN3mlt5LayerD2Ev"
3252	18	129527	6269351	"_af_adlm_uniranges"
3253	18	129621	6269445	"_af_arab_uniranges"
3254	18	129715	6269539	"_af_armn_uniranges"
3255	18	129834	6269658	"_af_avst_uniranges"
3256	18	129928	6269752	"_af_bamu_uniranges"
3257	18	130022	6269846	"_af_beng_uniranges"
3258	18	130116	6269940	"_af_buhd_uniranges"
3259	18	130210	6270034	"_af_cakm_uniranges"
3260	18	130304	6270128	"_af_cans_uniranges"
3261	18	130398	6270222	"_af_cari_uniranges"
3262	18	130492	6270316	"_af_cher_uniranges"
3263	18	130615	6270439	"_af_copt_uniranges"
3264	18	130709	6270533	"_af_cprt_uniranges"
3265	18	131037	6270861	"_af_cyrl_uniranges"
3266	18	131131	6270955	"_af_deva_uniranges"
3267	18	131225	6271049	"_af_dsrt_uniranges"
3268	18	131350	6271174	"_af_ethi_uniranges"
3269	18	131444	6271268	"_af_geok_uniranges"
3270	18	131538	6271362	"_af_geor_uniranges"
3271	18	131632	6271456	"_af_glag_uniranges"
3272	18	131726	6271550	"_af_goth_uniranges"
3273	18	132054	6271878	"_af_grek_uniranges"
3274	18	132148	6271972	"_af_gujr_uniranges"
3275	18	132242	6272066	"_af_guru_uniranges"
3276	18	132336	6272160	"_af_hani_uniranges"
3277	18	132430	6272254	"_af_hebr_uniranges"
3278	18	132555	6272379	"_af_kali_uniranges"
3279	18	132649	6272473	"_af_khmr_uniranges"
3280	18	132743	6272567	"_af_khms_uniranges"
3281	18	132837	6272661	"_af_knda_uniranges"
3282	18	133021	6272845	"_af_latb_uniranges"
3283	18	133380	6273204	"_af_latn_uniranges"
3284	18	133474	6273298	"_af_latp_uniranges"
3285	18	133568	6273392	"_af_limb_uniranges"
3286	18	133662	6273486	"_af_lisu_uniranges"
3287	18	133756	6273580	"_af_medf_uniranges"
3288	18	133850	6273674	"_af_mlym_uniranges"
3289	18	133944	6273768	"_af_mong_uniranges"
3290	18	134038	6273862	"_af_mymr_uniranges"
3291	18	134132	6273956	"_af_nkoo_uniranges"
3292	18	134226	6274050	"_af_none_uniranges"
3293	18	134320	6274144	"_af_olck_uniranges"
3294	18	134414	6274238	"_af_orkh_uniranges"
3295	18	134508	6274332	"_af_orya_uniranges"
3296	18	134602	6274426	"_af_osge_uniranges"
3297	18	134696	6274520	"_af_osma_uniranges"
3298	18	134790	6274614	"_af_rohg_uniranges"
3299	18	134884	6274708	"_af_saur_uniranges"
3300	18	135090	6274914	"_af_shaw_uniranges"
3301	18	135184	6275008	"_af_sinh_uniranges"
3302	18	135278	6275102	"_af_sund_uniranges"
3303	18	135372	6275196	"_af_sylo_uniranges"
3304	18	135466	6275290	"_af_taml_uniranges"
3305	18	135560	6275384	"_af_tavt_uniranges"
3306	18	135654	6275478	"_af_telu_uniranges"
3307	18	135748	6275572	"_af_tfng_uniranges"
3308	18	135842	6275666	"_af_thai_uniranges"
3309	18	135936	6275760	"_af_tibt_uniranges"
3310	18	136030	6275854	"_af_vaii_uniranges"
3311	18	136107	6275931	"_cff_builder_funcs"
3312	18	136183	6276007	"_cff_decoder_funcs"
3313	18	136939	6276763	"_sfnt_module_class"
3314	18	137802	6277626	"_u_isISOControl_61"
3315	18	137821	6277645	"_u_isJavaIDPart_61"
3316	18	137939	6277763	"_u_isWhitespace_61"
3317	18	138389	6278213	"_u_strFindFirst_61"
3318	18	138980	6278804	"_ubidi_getClass_61"
3319	18	139861	6279685	"_ublock_getCode_61"
3320	18	140074	6279898	"_uprv_aestrncpy_61"
3321	18	140164	6279988	"_uprv_eastrncpy_61"
3322	18	141467	6281291	"_CFRunLoopAddTimer"
3323	18	141974	6281798	"_CGContextFillRect"
3324	18	142056	6281880	"_CGContextScaleCTM"
3325	18	142302	6282126	"_CGGradientRelease"
3326	18	144859	6284683	"_NSMachErrorDomain"
3327	18	145297	6285121	"_NSStringFromClass"
3328	18	145316	6285140	"_NSStringFromRange"
3329	18	149445	6289269	"_UIFontWeightLight"
3330	18	160121	6299945	"___NSDictionary0__"
3331	18	160180	6300004	"___cxa_begin_catch"
3332	18	160238	6300062	"___cxa_guard_abort"
3333	18	160455	6300279	"___stack_chk_guard"
3334	18	160565	6300389	"__objc_empty_cache"
3335	18	161562	6301386	"_kCIInputRadiusKey"
3336	18	162058	6301882	"_objc_getMetaClass"
3337	18	162882	6302706	"_sqlite3_bind_blob"
3338	18	162939	6302763	"_sqlite3_bind_null"
3339	18	162958	6302782	"_sqlite3_bind_text"
3340	18	163161	6302985	"_sqlite3_db_handle"
3341	17	99	6139923	"_CocoaErrorDomain"
3342	17	933	6140757	"_FT_Activate_Size"
3343	17	1031	6140855	"_FT_Attach_Stream"
3344	17	1213	6141037	"_FT_Done_FreeType"
3345	17	1924	6141748	"_FT_Get_Next_Char"
3346	17	2039	6141863	"_FT_Get_Sfnt_Name"
3347	17	2144	6141968	"_FT_Get_Transform"
3348	17	2344	6142168	"_FT_Init_FreeType"
3349	17	2479	6142303	"_FT_List_Finalize"
3350	17	2621	6142445	"_FT_Matrix_Invert"
3351	17	2757	6142581	"_FT_Outline_Check"
3352	17	3194	6143018	"_FT_Remove_Module"
3353	17	3294	6143118	"_FT_Set_Char_Size"
3354	17	3565	6143389	"_FT_Set_Transform"
3355	17	3789	6143613	"_FT_Vector_Length"
3356	17	3827	6143651	"_FT_Vector_Rotate"
3357	17	3882	6143706	"_FilePathErrorKey"
3358	17	13503	6153327	"_POSIXErrorDomain"
3359	17	132928	6272752	"_af_lao_uniranges"
3360	17	136049	6275873	"_afm_parser_funcs"
3361	17	136089	6275913	"_bdf_driver_class"
3362	17	136202	6276026	"_cff_driver_class"
3363	17	136310	6276134	"_ft_hash_num_init"
3364	17	136368	6276192	"_ft_hash_str_free"
3365	17	136386	6276210	"_ft_hash_str_init"
3366	17	136717	6276541	"_pcf_driver_class"
3367	17	136755	6276579	"_pfr_driver_class"
3368	17	136773	6276597	"_ps_builder_funcs"
3369	17	136958	6276782	"_t1_builder_funcs"
3370	17	137100	6276924	"_t1_decoder_funcs"
3371	17	137197	6277021	"_t42_driver_class"
3372	17	137597	6277421	"_u_countChar32_61"
3373	17	138333	6278157	"_u_shapeArabic_61"
3374	17	138408	6278232	"_u_strFindLast_61"
3375	17	139376	6279200	"_ubidi_getText_61"
3376	17	139718	6279542	"_ubidi_setLine_61"
3377	17	139736	6279560	"_ubidi_setPara_61"
3378	17	140464	6280288	"_uprv_strnicmp_61"
3379	17	141993	6281817	"_CGContextRelease"
3380	17	142366	6282190	"_CGImageGetHeight"
3381	17	143083	6282907	"_CTRunGetAdvances"
3382	17	145143	6284967	"_NSRangeException"
3383	17	149381	6289205	"_UIEdgeInsetsZero"
3384	17	160437	6300261	"___stack_chk_fail"
3385	17	160514	6300338	"__dispatch_main_q"
3386	17	161215	6301039	"_kCAGravityBottom"
3387	17	161233	6301057	"_kCALineJoinRound"
3388	17	161370	6301194	"_kCFAllocatorNull"
3389	17	161544	6301368	"_kCIInputImageKey"
3390	17	161901	6301725	"_objc_autorelease"
3391	17	162014	6301838	"_objc_destroyWeak"
3392	17	162077	6301901	"_objc_getProperty"
3393	17	162095	6301919	"_objc_getProtocol"
3394	17	162151	6301975	"_objc_lookUpClass"
3395	17	162305	6302129	"_objc_retainBlock"
3396	17	162411	6302235	"_objc_storeStrong"
3397	17	162821	6302645	"_sel_registerName"
3398	17	162901	6302725	"_sqlite3_bind_int"
3399	17	163241	6303065	"_sqlite3_finalize"
3400	16	1049	6140873	"_FT_Bitmap_Blend"
3401	16	1231	6141055	"_FT_Done_Library"
3402	16	1278	6141102	"_FT_Error_String"
3403	16	1489	6141313	"_FT_Get_Advances"
3404	16	2001	6141825	"_FT_Get_Renderer"
3405	16	2527	6142351	"_FT_List_Iterate"
3406	16	2775	6142599	"_FT_Outline_Copy"
3407	16	2814	6142638	"_FT_Outline_Done"
3408	16	3119	6142943	"_FT_Property_Get"
3409	16	3136	6142960	"_FT_Property_Set"
3410	16	3212	6143036	"_FT_Render_Glyph"
3411	16	3229	6143053	"_FT_Request_Size"
3412	16	3548	6143372	"_FT_Set_Renderer"
3413	16	6393	6146217	"_MachErrorDomain"
3414	16	136293	6276117	"_ft_grays_raster"
3415	16	136807	6276631	"_ps_parser_funcs"
3416	16	136824	6276648	"_ps_property_get"
3417	16	136841	6276665	"_ps_property_set"
3418	16	136976	6276800	"_t1_cmap_classes"
3419	16	137118	6276942	"_t1_driver_class"
3420	16	137453	6277277	"_tt_driver_class"
3421	16	137545	6277369	"_u_charMirror_61"
3422	16	137882	6277706	"_u_isMirrored_61"
3423	16	138372	6278196	"_u_strCompare_61"
3424	16	138832	6278656	"_u_unescapeAt_61"
3425	16	140397	6280221	"_uprv_realloc_61"
3426	16	140430	6280254	"_uprv_stricmp_61"
3427	16	140447	6280271	"_uprv_strndup_61"
3428	16	140482	6280306	"_uprv_toupper_61"
3429	16	140765	6280589	"_utrie2_close_61"
3430	16	140872	6280696	"_utrie2_get32_61"
3431	16	141673	6281497	"_CFRunLoopWakeUp"
3432	16	142384	6282208	"_CGImageGetWidth"
3433	16	142580	6282404	"_CGRectGetHeight"
3434	16	157206	6297030	"__ZNSt3__14coutE"
3435	16	158949	6298773	"__ZSt9terminatev"
3436	16	160199	6300023	"___cxa_end_catch"
3437	16	160420	6300244	"___sincosf_stret"
3438	16	160694	6300518	"_class_addMethod"
3439	16	160898	6300722	"_dispatch_once_f"
3440	16	161177	6301001	"_kCAFillModeBoth"
3441	16	162445	6302269	"_objc_sync_enter"
3442	16	162999	6302823	"_sqlite3_changes"
3443	16	163327	6303151	"_sqlite3_open_v2"
3444	16	163586	6303410	"dyld_stub_binder"
3445	15	1015	6140839	"_FT_Attach_File"
3446	15	1085	6140909	"_FT_Bitmap_Copy"
3447	15	1101	6140925	"_FT_Bitmap_Done"
3448	15	1137	6140961	"_FT_Bitmap_Init"
3449	15	1248	6141072	"_FT_Done_MM_Var"
3450	15	1473	6141297	"_FT_Get_Advance"
3451	15	1785	6141609	"_FT_Get_Kerning"
3452	15	2511	6142335	"_FT_List_Insert"
3453	15	2544	6142368	"_FT_List_Remove"
3454	15	2694	6142518	"_FT_New_Library"
